student_id,gender,college_tier,socioeconomic_status,placement_status
STU_0315,Male,Tier 1,Rural,Not Placed
STU_0031,Female,Tier 2,Rural,Placed
STU_1452,Female,Tier 2,Urban,Placed
STU_0483,Female,Tier 3,Semi-Urban,Placed
STU_0864,Male,Tier 1,Semi-Urban,Placed
STU_0935,Male,Tier 1,Rural,Placed
STU_1439,Male,Tier 1,Rural,Not Placed
STU_0455,Male,Tier 2,Semi-Urban,Not Placed
STU_0131,Female,Tier 3,Semi-Urban,Not Placed
STU_0407,Female,Tier 2,Urban,Placed
STU_0206,Female,Tier 3,Urban,Placed
STU_1184,Male,Tier 1,Urban,Placed
STU_0109,Female,Tier 2,Semi-Urban,Not Placed
STU_1366,Female,Tier 2,Semi-Urban,Placed
STU_0950,Male,Tier 2,Semi-Urban,Placed
STU_1012,Male,Tier 1,Urban,Placed
STU_1448,Female,Tier 3,Urban,Not Placed
STU_1057,Female,Tier 1,Urban,Placed
STU_0981,Male,Tier 2,Rural,Not Placed
STU_1331,Female,Tier 3,Semi-Urban,Not Placed
STU_1180,Male,Tier 3,Rural,Not Placed
STU_1414,Other,Tier 3,Urban,Placed
STU_0157,Male,Tier 1,Semi-Urban,Not Placed
STU_0359,Male,Tier 3,Urban,Not Placed
STU_0829,Male,Tier 3,Urban,Not Placed
STU_1048,Male,Tier 1,Urban,Placed
STU_0485,Male,Tier 1,Urban,Placed
STU_1074,Male,Tier 1,Urban,Placed
STU_0765,Female,Tier 1,Rural,Placed
STU_0144,Female,Tier 3,Urban,Not Placed
STU_0190,Female,Tier 2,Semi-Urban,Not Placed
STU_0859,Female,Tier 1,Urban,Placed
STU_0213,Male,Tier 2,Urban,Placed
STU_0600,Male,Tier 3,Semi-Urban,Not Placed
STU_0075,Other,Tier 2,Urban,Not Placed
STU_1084,Male,Tier 1,Rural,Not Placed
STU_0311,Male,Tier 2,Urban,Placed
STU_0676,Male,Tier 2,Semi-Urban,Placed
STU_1071,Male,Tier 2,Urban,Not Placed
STU_0246,Female,Tier 1,Urban,Placed
STU_1219,Male,Tier 1,Rural,Not Placed
STU_0783,Female,Tier 2,Semi-Urban,Placed
STU_0353,Male,Tier 1,Urban,Not Placed
STU_1365,Other,Tier 2,Urban,Placed
STU_0230,Female,Tier 2,Urban,Not Placed
STU_1173,Female,Tier 2,Semi-Urban,Not Placed
STU_0886,Male,Tier 2,Semi-Urban,Placed
STU_0790,Male,Tier 2,Rural,Placed
STU_0911,Male,Tier 2,Semi-Urban,Placed
STU_0050,Male,Tier 3,Semi-Urban,Placed
STU_1410,Male,Tier 2,Urban,Not Placed
STU_0216,Female,Tier 2,Urban,Placed
STU_1438,Male,Tier 2,Semi-Urban,Placed
STU_0691,Female,Tier 2,Semi-Urban,Not Placed
STU_0470,Female,Tier 3,Semi-Urban,Not Placed
STU_0715,Male,Tier 3,Semi-Urban,Not Placed
STU_1112,Male,Tier 2,Rural,Not Placed
STU_0593,Female,Tier 2,Urban,Placed
STU_0749,Male,Tier 3,Rural,Not Placed
STU_0448,Female,Tier 1,Urban,Placed
STU_0008,Male,Tier 2,Semi-Urban,Placed
STU_0375,Female,Tier 3,Semi-Urban,Not Placed
STU_1426,Female,Tier 2,Urban,Not Placed
STU_1391,Female,Tier 1,Semi-Urban,Not Placed
STU_1336,Male,Tier 2,Urban,Placed
STU_1445,Male,Tier 3,Urban,Not Placed
STU_1383,Male,Tier 3,Rural,Placed
STU_1361,Female,Tier 2,Urban,Not Placed
STU_0148,Male,Tier 3,Rural,Placed
STU_1309,Male,Tier 3,Rural,Not Placed
STU_0447,Male,Tier 2,Urban,Placed
STU_0568,Male,Tier 3,Rural,Placed
STU_0535,Female,Tier 2,Semi-Urban,Placed
STU_1089,Male,Tier 2,Rural,Placed
STU_1322,Female,Tier 2,Rural,Placed
STU_0392,Female,Tier 2,Semi-Urban,Not Placed
STU_0656,Female,Tier 3,Semi-Urban,Not Placed
STU_0346,Male,Tier 3,Rural,Not Placed
STU_1097,Female,Tier 3,Semi-Urban,Placed
STU_1109,Male,Tier 2,Semi-Urban,Not Placed
STU_1280,Male,Tier 1,Rural,Not Placed
STU_0746,Male,Tier 1,Urban,Placed
STU_0937,Male,Tier 2,Rural,Not Placed
STU_1118,Male,Tier 3,Semi-Urban,Not Placed
STU_0370,Male,Tier 1,Urban,Placed
STU_1091,Male,Tier 3,Urban,Not Placed
STU_1093,Female,Tier 1,Urban,Placed
STU_1085,Female,Tier 2,Semi-Urban,Placed
STU_0677,Male,Tier 1,Semi-Urban,Not Placed
STU_0728,Male,Tier 3,Urban,Placed
STU_1480,Female,Tier 1,Rural,Placed
STU_0836,Male,Tier 2,Semi-Urban,Placed
STU_1087,Male,Tier 2,Semi-Urban,Placed
STU_1293,Female,Tier 2,Semi-Urban,Placed
STU_1182,Female,Tier 2,Urban,Not Placed
STU_0079,Male,Tier 2,Semi-Urban,Not Placed
STU_0331,Male,Tier 2,Urban,Not Placed
STU_1134,Male,Tier 3,Semi-Urban,Not Placed
STU_1333,Female,Tier 3,Semi-Urban,Not Placed
STU_1405,Male,Tier 1,Semi-Urban,Placed
STU_0614,Male,Tier 2,Urban,Not Placed
STU_0319,Male,Tier 2,Rural,Not Placed
STU_0758,Male,Tier 2,Semi-Urban,Placed
STU_0929,Male,Tier 3,Rural,Not Placed
STU_0835,Female,Tier 2,Urban,Placed
STU_0961,Female,Tier 2,Urban,Placed
STU_0993,Male,Tier 2,Rural,Not Placed
STU_0387,Female,Tier 3,Urban,Not Placed
STU_0521,Female,Tier 1,Urban,Placed
STU_0044,Female,Tier 2,Urban,Placed
STU_0127,Other,Tier 3,Semi-Urban,Not Placed
STU_1404,Female,Tier 1,Urban,Placed
STU_0752,Male,Tier 2,Urban,Placed
STU_0480,Female,Tier 3,Semi-Urban,Placed
STU_0269,Female,Tier 2,Urban,Not Placed
STU_0328,Female,Tier 2,Semi-Urban,Not Placed
STU_1035,Male,Tier 3,Urban,Not Placed
STU_0725,Female,Tier 1,Urban,Placed
STU_0299,Male,Tier 2,Urban,Placed
STU_0523,Female,Tier 2,Rural,Not Placed
STU_1270,Male,Tier 2,Urban,Not Placed
STU_1462,Male,Tier 1,Rural,Placed
STU_0061,Female,Tier 1,Semi-Urban,Not Placed
STU_1232,Male,Tier 2,Semi-Urban,Not Placed
STU_0494,Female,Tier 1,Urban,Placed
STU_0192,Female,Tier 1,Semi-Urban,Not Placed
STU_0189,Male,Tier 1,Semi-Urban,Placed
STU_0188,Male,Tier 2,Urban,Placed
STU_0531,Male,Tier 1,Urban,Not Placed
STU_1252,Male,Tier 2,Urban,Placed
STU_0116,Male,Tier 2,Urban,Placed
STU_0914,Other,Tier 2,Semi-Urban,Placed
STU_0160,Other,Tier 3,Urban,Not Placed
STU_0413,Female,Tier 1,Urban,Placed
STU_0249,Female,Tier 2,Urban,Placed
STU_0524,Female,Tier 1,Semi-Urban,Placed
STU_0456,Male,Tier 2,Urban,Placed
STU_0787,Female,Tier 2,Urban,Placed
STU_0890,Male,Tier 3,Rural,Placed
STU_0403,Male,Tier 1,Urban,Not Placed
STU_0401,Male,Tier 3,Urban,Not Placed
STU_0540,Male,Tier 3,Rural,Placed
STU_0043,Female,Tier 1,Urban,Not Placed
STU_0990,Female,Tier 3,Rural,Not Placed
STU_0724,Male,Tier 3,Semi-Urban,Not Placed
STU_0027,Female,Tier 2,Urban,Not Placed
STU_0927,Male,Tier 2,Semi-Urban,Not Placed
STU_1019,Female,Tier 1,Urban,Placed
STU_1092,Male,Tier 1,Urban,Placed
STU_0987,Other,Tier 2,Urban,Not Placed
STU_0807,Female,Tier 3,Urban,Not Placed
STU_1332,Female,Tier 2,Urban,Placed
STU_0855,Male,Tier 2,Semi-Urban,Placed
STU_0191,Male,Tier 2,Semi-Urban,Not Placed
STU_1237,Male,Tier 1,Semi-Urban,Placed
STU_1459,Male,Tier 2,Urban,Not Placed
STU_1198,Female,Tier 2,Semi-Urban,Placed
STU_0952,Male,Tier 2,Semi-Urban,Placed
STU_0168,Female,Tier 2,Urban,Not Placed
STU_0618,Male,Tier 3,Rural,Not Placed
STU_0185,Male,Tier 3,Urban,Placed
STU_1208,Male,Tier 1,Semi-Urban,Placed
STU_1002,Male,Tier 2,Urban,Placed
STU_0946,Male,Tier 1,Semi-Urban,Placed
STU_0055,Male,Tier 2,Rural,Placed
STU_0648,Male,Tier 1,Urban,Placed
STU_0558,Male,Tier 3,Urban,Not Placed
STU_1470,Female,Tier 1,Urban,Not Placed
STU_1358,Female,Tier 2,Urban,Not Placed
STU_0364,Female,Tier 2,Urban,Not Placed
STU_1315,Female,Tier 2,Urban,Placed
STU_0464,Male,Tier 1,Semi-Urban,Placed
STU_0458,Male,Tier 3,Semi-Urban,Not Placed
STU_0429,Male,Tier 1,Urban,Placed
STU_0282,Female,Tier 3,Semi-Urban,Placed
STU_0628,Female,Tier 2,Semi-Urban,Not Placed
STU_0056,Male,Tier 2,Semi-Urban,Placed
STU_0040,Male,Tier 3,Semi-Urban,Placed
STU_0113,Female,Tier 3,Rural,Not Placed
STU_0953,Female,Tier 2,Semi-Urban,Placed
STU_0898,Male,Tier 2,Semi-Urban,Placed
STU_1149,Male,Tier 3,Semi-Urban,Not Placed
STU_0366,Female,Tier 1,Rural,Placed
STU_1329,Female,Tier 3,Semi-Urban,Placed
STU_0857,Female,Tier 3,Urban,Not Placed
STU_0386,Male,Tier 3,Rural,Not Placed
STU_1129,Male,Tier 3,Rural,Not Placed
STU_0988,Male,Tier 1,Urban,Placed
STU_0382,Female,Tier 2,Urban,Placed
STU_1428,Female,Tier 3,Rural,Not Placed
STU_0657,Male,Tier 3,Urban,Not Placed
STU_0875,Female,Tier 1,Rural,Placed
STU_1356,Male,Tier 1,Rural,Placed
STU_0106,Female,Tier 2,Semi-Urban,Not Placed
STU_0174,Male,Tier 2,Urban,Not Placed
STU_0203,Male,Tier 1,Urban,Placed
STU_0115,Male,Tier 2,Urban,Placed
STU_1275,Female,Tier 3,Semi-Urban,Placed
STU_0037,Female,Tier 3,Urban,Not Placed
STU_1453,Male,Tier 2,Rural,Not Placed
STU_0152,Female,Tier 2,Rural,Placed
STU_1464,Male,Tier 3,Urban,Placed
STU_0786,Male,Tier 2,Urban,Placed
STU_1102,Male,Tier 1,Urban,Placed
STU_0442,Male,Tier 1,Semi-Urban,Placed
STU_0072,Male,Tier 2,Urban,Not Placed
STU_0229,Male,Tier 1,Urban,Placed
STU_0436,Female,Tier 1,Rural,Placed
STU_0840,Male,Tier 1,Urban,Not Placed
STU_0402,Male,Tier 1,Semi-Urban,Placed
STU_1254,Female,Tier 1,Rural,Placed
STU_1116,Male,Tier 2,Rural,Not Placed
STU_1379,Female,Tier 2,Semi-Urban,Not Placed
STU_0342,Male,Tier 1,Rural,Placed
STU_0320,Male,Tier 3,Semi-Urban,Not Placed
STU_0181,Female,Tier 2,Urban,Placed
STU_1187,Female,Tier 1,Rural,Placed
STU_1255,Female,Tier 2,Urban,Placed
STU_0355,Male,Tier 2,Urban,Not Placed
STU_0897,Male,Tier 1,Rural,Not Placed
STU_1497,Male,Tier 1,Urban,Placed
STU_0649,Male,Tier 2,Urban,Not Placed
STU_0090,Male,Tier 3,Semi-Urban,Not Placed
STU_0773,Female,Tier 3,Urban,Placed
STU_0092,Female,Tier 2,Rural,Placed
STU_1123,Male,Tier 2,Urban,Placed
STU_0574,Male,Tier 2,Rural,Placed
STU_0278,Female,Tier 2,Rural,Placed
STU_1201,Female,Tier 1,Urban,Not Placed
STU_0852,Female,Tier 3,Rural,Not Placed
STU_1105,Female,Tier 3,Semi-Urban,Not Placed
STU_0702,Other,Tier 3,Urban,Placed
STU_0029,Male,Tier 2,Semi-Urban,Placed
STU_0822,Male,Tier 1,Urban,Not Placed
STU_1072,Female,Tier 1,Semi-Urban,Placed
STU_1321,Female,Tier 3,Rural,Not Placed
STU_1090,Female,Tier 2,Urban,Placed
STU_0739,Female,Tier 3,Semi-Urban,Placed
STU_1228,Female,Tier 2,Urban,Not Placed
STU_0271,Male,Tier 3,Rural,Placed
STU_1310,Male,Tier 1,Rural,Placed
STU_0514,Male,Tier 1,Semi-Urban,Not Placed
STU_1127,Male,Tier 2,Rural,Not Placed
STU_0999,Female,Tier 3,Urban,Placed
STU_0995,Female,Tier 1,Urban,Not Placed
STU_0143,Female,Tier 2,Urban,Not Placed
STU_1193,Female,Tier 1,Semi-Urban,Placed
STU_0925,Female,Tier 3,Semi-Urban,Not Placed
STU_1257,Male,Tier 2,Urban,Not Placed
STU_0584,Female,Tier 3,Semi-Urban,Placed
STU_0381,Female,Tier 3,Rural,Placed
STU_0100,Female,Tier 1,Semi-Urban,Placed
STU_0178,Female,Tier 2,Urban,Not Placed
STU_1402,Male,Tier 3,Urban,Placed
STU_0091,Female,Tier 2,Rural,Placed
STU_0195,Male,Tier 2,Rural,Not Placed
STU_1479,Male,Tier 2,Rural,Not Placed
STU_0695,Male,Tier 2,Semi-Urban,Not Placed
STU_1262,Male,Tier 3,Urban,Placed
STU_1119,Male,Tier 2,Urban,Not Placed
STU_0802,Male,Tier 3,Semi-Urban,Not Placed
STU_0553,Male,Tier 2,Urban,Not Placed
STU_1181,Male,Tier 1,Semi-Urban,Placed
STU_0142,Male,Tier 2,Urban,Not Placed
STU_1178,Female,Tier 1,Urban,Placed
STU_1163,Male,Tier 2,Urban,Not Placed
STU_1494,Female,Tier 3,Urban,Not Placed
STU_0415,Female,Tier 1,Urban,Placed
STU_0193,Male,Tier 2,Urban,Placed
STU_0073,Male,Tier 2,Rural,Not Placed
STU_0048,Male,Tier 1,Urban,Placed
STU_0812,Female,Tier 3,Rural,Not Placed
STU_1236,Male,Tier 2,Rural,Not Placed
STU_0917,Female,Tier 2,Urban,Placed
STU_0347,Female,Tier 2,Semi-Urban,Placed
STU_1269,Male,Tier 2,Semi-Urban,Not Placed
STU_1222,Male,Tier 2,Urban,Not Placed
STU_0732,Female,Tier 1,Semi-Urban,Placed
STU_0526,Female,Tier 3,Rural,Placed
STU_0903,Male,Tier 1,Semi-Urban,Placed
STU_0939,Female,Tier 1,Semi-Urban,Placed
STU_0130,Female,Tier 2,Semi-Urban,Not Placed
STU_0883,Male,Tier 2,Rural,Not Placed
STU_0412,Female,Tier 1,Semi-Urban,Not Placed
STU_0604,Female,Tier 1,Urban,Not Placed
STU_1431,Other,Tier 2,Rural,Placed
STU_1044,Female,Tier 3,Urban,Not Placed
STU_0544,Male,Tier 1,Semi-Urban,Placed
STU_0321,Female,Tier 1,Rural,Placed
STU_0111,Male,Tier 2,Semi-Urban,Placed
STU_0907,Male,Tier 2,Semi-Urban,Not Placed
STU_0417,Female,Tier 3,Semi-Urban,Not Placed
STU_0332,Male,Tier 1,Rural,Placed
STU_0233,Male,Tier 2,Semi-Urban,Placed
STU_0515,Female,Tier 1,Semi-Urban,Placed
STU_0645,Male,Tier 2,Semi-Urban,Not Placed
STU_0492,Other,Tier 1,Semi-Urban,Placed
STU_0690,Male,Tier 2,Urban,Not Placed
STU_0184,Female,Tier 3,Rural,Placed
STU_0944,Male,Tier 1,Urban,Placed
STU_1042,Female,Tier 1,Urban,Placed
STU_0853,Male,Tier 3,Rural,Not Placed
STU_0472,Female,Tier 2,Urban,Not Placed
STU_1265,Female,Tier 1,Rural,Not Placed
STU_0301,Male,Tier 1,Semi-Urban,Placed
STU_1231,Male,Tier 3,Urban,Not Placed
STU_0135,Female,Tier 1,Semi-Urban,Placed
STU_0998,Male,Tier 2,Semi-Urban,Not Placed
STU_0808,Male,Tier 2,Semi-Urban,Placed
STU_0578,Female,Tier 2,Rural,Not Placed
STU_0234,Female,Tier 3,Urban,Placed
STU_0849,Male,Tier 3,Urban,Placed
STU_0318,Male,Tier 2,Rural,Placed
STU_0408,Female,Tier 2,Urban,Placed
STU_0782,Male,Tier 1,Urban,Placed
STU_0209,Male,Tier 1,Semi-Urban,Placed
STU_1325,Female,Tier 2,Rural,Placed
STU_0954,Female,Tier 3,Urban,Not Placed
STU_1278,Female,Tier 3,Semi-Urban,Not Placed
STU_0490,Male,Tier 2,Semi-Urban,Placed
STU_1376,Male,Tier 1,Urban,Placed
STU_0104,Female,Tier 3,Semi-Urban,Placed
STU_1299,Female,Tier 1,Semi-Urban,Placed
STU_0280,Female,Tier 2,Urban,Placed
STU_0468,Male,Tier 3,Urban,Not Placed
STU_0300,Male,Tier 1,Urban,Placed
STU_0795,Female,Tier 3,Semi-Urban,Not Placed
STU_0827,Female,Tier 2,Urban,Not Placed
STU_0266,Male,Tier 3,Semi-Urban,Not Placed
STU_1038,Female,Tier 1,Urban,Placed
STU_1256,Male,Tier 3,Urban,Placed
STU_0599,Male,Tier 3,Semi-Urban,Not Placed
STU_1060,Female,Tier 2,Rural,Placed
STU_0563,Other,Tier 1,Urban,Placed
STU_1350,Other,Tier 2,Rural,Not Placed
STU_0380,Female,Tier 1,Urban,Not Placed
STU_0964,Male,Tier 2,Urban,Not Placed
STU_1070,Female,Tier 1,Urban,Placed
STU_1099,Female,Tier 2,Semi-Urban,Not Placed
STU_0876,Male,Tier 2,Semi-Urban,Placed
STU_1281,Male,Tier 1,Semi-Urban,Placed
STU_1063,Female,Tier 2,Urban,Placed
STU_1306,Male,Tier 2,Urban,Placed
STU_0228,Female,Tier 2,Rural,Placed
STU_1052,Male,Tier 2,Semi-Urban,Placed
STU_1492,Female,Tier 3,Rural,Placed
STU_1487,Female,Tier 3,Urban,Not Placed
STU_0775,Female,Tier 1,Urban,Placed
STU_0688,Male,Tier 2,Semi-Urban,Not Placed
STU_1489,Female,Tier 3,Semi-Urban,Not Placed
STU_0627,Male,Tier 3,Urban,Placed
STU_1260,Male,Tier 3,Urban,Not Placed
STU_0487,Male,Tier 1,Urban,Not Placed
STU_0310,Male,Tier 2,Rural,Placed
STU_0776,Male,Tier 1,Rural,Not Placed
STU_0721,Male,Tier 2,Semi-Urban,Placed
STU_1393,Female,Tier 3,Urban,Placed
STU_0862,Male,Tier 1,Semi-Urban,Placed
STU_1425,Male,Tier 2,Rural,Placed
STU_0287,Male,Tier 1,Rural,Placed
STU_0516,Male,Tier 1,Urban,Placed
STU_0042,Male,Tier 1,Urban,Placed
STU_1159,Female,Tier 2,Urban,Not Placed
STU_1094,Female,Tier 3,Urban,Not Placed
STU_1168,Female,Tier 2,Semi-Urban,Placed
STU_0943,Female,Tier 2,Urban,Placed
STU_0207,Male,Tier 1,Urban,Not Placed
STU_0082,Female,Tier 3,Semi-Urban,Placed
STU_0137,Male,Tier 3,Semi-Urban,Placed
STU_1167,Male,Tier 1,Rural,Placed
STU_0879,Male,Tier 2,Urban,Not Placed
STU_0136,Female,Tier 2,Semi-Urban,Not Placed
STU_0080,Female,Tier 2,Semi-Urban,Placed
STU_0361,Female,Tier 1,Urban,Placed
STU_0815,Male,Tier 2,Rural,Not Placed
STU_0156,Female,Tier 3,Semi-Urban,Not Placed
STU_0262,Male,Tier 2,Urban,Placed
STU_0098,Female,Tier 2,Rural,Placed
STU_0240,Male,Tier 1,Urban,Not Placed
STU_0920,Female,Tier 1,Semi-Urban,Not Placed
STU_0434,Male,Tier 2,Semi-Urban,Placed
STU_1491,Female,Tier 2,Urban,Not Placed
STU_0450,Male,Tier 2,Urban,Placed
STU_0894,Female,Tier 3,Urban,Not Placed
STU_0110,Male,Tier 1,Semi-Urban,Placed
STU_0723,Male,Tier 2,Semi-Urban,Not Placed
STU_0788,Female,Tier 3,Urban,Not Placed
STU_0908,Male,Tier 2,Urban,Placed
STU_0224,Male,Tier 2,Semi-Urban,Not Placed
STU_1339,Male,Tier 3,Rural,Placed
STU_0294,Female,Tier 2,Urban,Placed
STU_1066,Male,Tier 2,Rural,Placed
STU_0882,Male,Tier 2,Urban,Not Placed
STU_0306,Male,Tier 2,Urban,Placed
STU_0918,Female,Tier 2,Urban,Placed
STU_0363,Female,Tier 2,Semi-Urban,Placed
STU_0780,Male,Tier 2,Urban,Placed
STU_0396,Male,Tier 2,Rural,Placed
STU_0517,Male,Tier 2,Urban,Placed
STU_0352,Male,Tier 2,Semi-Urban,Not Placed
STU_0260,Male,Tier 1,Urban,Not Placed
STU_1472,Female,Tier 3,Rural,Placed
STU_0742,Female,Tier 3,Semi-Urban,Not Placed
STU_0771,Female,Tier 1,Urban,Not Placed
STU_1466,Male,Tier 3,Semi-Urban,Not Placed
STU_0039,Male,Tier 1,Urban,Placed
STU_0145,Female,Tier 2,Semi-Urban,Not Placed
STU_0616,Male,Tier 1,Rural,Not Placed
STU_0899,Male,Tier 1,Rural,Placed
STU_1441,Male,Tier 1,Semi-Urban,Not Placed
STU_0378,Female,Tier 2,Rural,Not Placed
STU_0291,Male,Tier 2,Semi-Urban,Placed
STU_1375,Male,Tier 2,Urban,Not Placed
STU_0957,Female,Tier 2,Urban,Placed
STU_0512,Female,Tier 2,Semi-Urban,Not Placed
STU_0046,Male,Tier 1,Urban,Placed
STU_0445,Female,Tier 2,Rural,Not Placed
STU_1303,Female,Tier 2,Urban,Not Placed
STU_1473,Female,Tier 2,Semi-Urban,Placed
STU_0985,Female,Tier 2,Semi-Urban,Placed
STU_1468,Male,Tier 2,Urban,Not Placed
STU_0635,Male,Tier 2,Urban,Placed
STU_1207,Male,Tier 3,Urban,Not Placed
STU_1243,Male,Tier 2,Semi-Urban,Not Placed
STU_1202,Female,Tier 2,Urban,Placed
STU_0867,Male,Tier 3,Semi-Urban,Placed
STU_1157,Female,Tier 2,Urban,Placed
STU_0612,Other,Tier 2,Urban,Placed
STU_1288,Female,Tier 2,Urban,Not Placed
STU_0605,Male,Tier 1,Semi-Urban,Placed
STU_1223,Male,Tier 2,Urban,Placed
STU_0587,Male,Tier 1,Rural,Placed
STU_0667,Male,Tier 3,Semi-Urban,Not Placed
STU_0128,Female,Tier 2,Semi-Urban,Placed
STU_1025,Male,Tier 1,Semi-Urban,Not Placed
STU_1328,Male,Tier 2,Urban,Placed
STU_1427,Male,Tier 2,Rural,Not Placed
STU_0843,Female,Tier 1,Urban,Not Placed
STU_0789,Female,Tier 1,Rural,Placed
STU_0713,Male,Tier 2,Rural,Not Placed
STU_0992,Male,Tier 1,Urban,Placed
STU_0314,Female,Tier 2,Urban,Placed
STU_0611,Male,Tier 2,Urban,Placed
STU_0745,Male,Tier 2,Semi-Urban,Not Placed
STU_1247,Male,Tier 1,Semi-Urban,Not Placed
STU_1397,Male,Tier 3,Urban,Not Placed
STU_0975,Female,Tier 2,Rural,Not Placed
STU_0674,Female,Tier 3,Urban,Not Placed
STU_1407,Female,Tier 2,Semi-Urban,Not Placed
STU_0222,Male,Tier 2,Urban,Placed
STU_0326,Male,Tier 2,Semi-Urban,Placed
STU_1043,Male,Tier 1,Semi-Urban,Placed
STU_1106,Male,Tier 2,Urban,Placed
STU_1493,Female,Tier 3,Urban,Placed
STU_1363,Male,Tier 3,Semi-Urban,Placed
STU_0763,Female,Tier 1,Urban,Not Placed
STU_0673,Male,Tier 2,Semi-Urban,Placed
STU_0062,Male,Tier 2,Semi-Urban,Not Placed
STU_0263,Female,Tier 2,Semi-Urban,Not Placed
STU_0405,Female,Tier 2,Urban,Placed
STU_0718,Female,Tier 1,Semi-Urban,Placed
STU_0851,Female,Tier 2,Semi-Urban,Not Placed
STU_0254,Female,Tier 3,Rural,Placed
STU_0194,Male,Tier 3,Urban,Placed
STU_0508,Male,Tier 3,Rural,Not Placed
STU_0860,Male,Tier 2,Urban,Not Placed
STU_1481,Female,Tier 1,Urban,Placed
STU_0694,Female,Tier 1,Semi-Urban,Placed
STU_1179,Male,Tier 2,Urban,Not Placed
STU_1488,Male,Tier 3,Urban,Not Placed
STU_0094,Male,Tier 2,Semi-Urban,Placed
STU_0019,Male,Tier 1,Semi-Urban,Placed
STU_0351,Female,Tier 1,Urban,Not Placed
STU_0277,Female,Tier 2,Urban,Not Placed
STU_0617,Male,Tier 2,Urban,Not Placed
STU_0170,Female,Tier 2,Rural,Placed
STU_0554,Female,Tier 3,Semi-Urban,Placed
STU_0904,Female,Tier 2,Semi-Urban,Placed
STU_1131,Female,Tier 3,Urban,Placed
STU_0323,Female,Tier 3,Urban,Placed
STU_0499,Female,Tier 2,Semi-Urban,Not Placed
STU_0533,Female,Tier 3,Semi-Urban,Placed
STU_1460,Male,Tier 3,Rural,Placed
STU_0630,Other,Tier 3,Urban,Placed
STU_0488,Male,Tier 1,Semi-Urban,Not Placed
STU_0235,Male,Tier 3,Urban,Not Placed
STU_0761,Female,Tier 1,Rural,Not Placed
STU_0910,Male,Tier 2,Rural,Placed
STU_0295,Female,Tier 3,Urban,Not Placed
STU_0805,Female,Tier 2,Urban,Placed
STU_0150,Female,Tier 1,Semi-Urban,Placed
STU_1340,Female,Tier 3,Semi-Urban,Placed
STU_0333,Male,Tier 2,Semi-Urban,Not Placed
STU_0893,Male,Tier 1,Rural,Not Placed
STU_0058,Female,Tier 2,Urban,Placed
STU_0350,Male,Tier 2,Urban,Placed
STU_0367,Female,Tier 2,Semi-Urban,Placed
STU_0258,Male,Tier 2,Urban,Placed
STU_0588,Male,Tier 3,Rural,Not Placed
STU_0971,Male,Tier 2,Semi-Urban,Placed
STU_1274,Female,Tier 2,Urban,Not Placed
STU_1292,Female,Tier 3,Urban,Not Placed
STU_0087,Female,Tier 2,Urban,Placed
STU_1446,Male,Tier 1,Urban,Not Placed
