student_id,python_score,sql_score,excel_score,stats_score,ml_score,powerbi_score,comm_score,aptitude_score,cgpa,projects_count,internships_count,certifications_count,target_role,placement_status,gender,college_tier,socioeconomic_status
STU_0055,83,78,52,92,88,61,64,79,6.71,3,1,1,Data Scientist,Placed,Male,Tier 2,Rural
STU_0056,75,85,84,89,71,71,65,83,6.86,4,1,2,Data Science Intern,Placed,Male,Tier 2,Semi-Urban
STU_0057,62,65,68,63,46,66,68,69,6.62,2,1,3,Data Analyst,Not Placed,Other,Tier 1,Semi-Urban
STU_0058,62,78,89,82,50,75,73,69,7.17,2,1,2,Data Analyst,Placed,Female,Tier 2,Urban
STU_0059,57,83,62,74,48,71,63,66,6.51,2,1,3,Data Analyst,Not Placed,Female,Tier 1,Semi-Urban
STU_0060,48,84,95,74,63,75,99,89,8.57,3,2,1,Business Analyst,Placed,Male,Tier 1,Semi-Urban
STU_0061,50,40,77,50,42,70,74,69,6.69,2,0,3,Business Analyst,Not Placed,Female,Tier 1,Semi-Urban
STU_0062,51,57,92,59,25,71,79,69,7.63,3,0,3,Business Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0063,50,84,91,68,47,93,74,68,7.64,3,0,1,BI Analyst,Not Placed,Female,Tier 3,Urban
STU_0064,43,51,83,63,46,71,80,87,6.72,2,0,2,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0065,39,67,76,53,33,67,91,83,6.87,2,1,3,Business Analyst,Not Placed,Female,Tier 3,Urban
STU_0066,92,79,51,81,75,67,56,82,7.83,3,0,2,Data Scientist,Placed,Female,Tier 2,Semi-Urban
STU_0067,69,96,77,74,69,74,57,56,7.26,2,2,3,Data Analyst,Placed,Female,Tier 2,Rural
STU_0068,61,65,74,65,49,88,75,79,7.14,3,1,3,BI Analyst,Placed,Male,Tier 1,Rural
STU_0069,60,82,79,79,64,86,82,66,7.8,1,0,2,Data Analyst,Not Placed,Male,Tier 3,Semi-Urban
STU_0070,98,94,82,99,69,69,74,88,8.57,2,0,4,Data Science Intern,Placed,Female,Tier 1,Urban
STU_0071,45,83,85,64,47,76,65,77,5.93,2,1,2,BI Analyst,Not Placed,Male,Tier 2,Rural
STU_0072,61,75,70,46,37,85,52,65,6.19,2,2,3,Data Analyst,Not Placed,Male,Tier 2,Urban
STU_0073,69,72,81,75,52,99,55,77,7.03,2,0,2,Data Analyst,Not Placed,Male,Tier 2,Rural
STU_0074,68,99,94,69,63,85,91,85,9.1,5,1,3,BI Analyst,Placed,Male,Tier 1,Urban
STU_0075,87,72,53,75,75,41,67,81,6.63,3,0,1,ML Intern,Not Placed,Other,Tier 2,Urban
STU_0076,92,77,55,95,99,73,64,79,7.51,4,2,1,ML Intern,Placed,Male,Tier 3,Semi-Urban
STU_0077,66,93,85,64,63,99,76,89,8.26,4,1,3,BI Analyst,Placed,Female,Tier 3,Semi-Urban
STU_0078,68,80,78,69,43,75,49,74,6.49,2,1,2,Data Analyst,Placed,Female,Tier 3,Urban
STU_0079,41,76,84,61,43,73,98,64,7.02,2,2,2,Business Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0080,80,93,79,68,73,79,67,87,7.79,4,0,3,Data Analyst,Placed,Female,Tier 2,Semi-Urban
STU_0081,57,71,78,52,54,92,76,71,7.06,2,1,3,BI Analyst,Placed,Male,Tier 1,Urban
STU_0082,98,67,44,80,99,41,58,76,7.42,4,2,2,ML Intern,Placed,Female,Tier 3,Semi-Urban
STU_0083,47,52,90,74,44,62,70,79,6.92,2,1,2,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0084,65,80,75,59,39,79,70,53,6.71,2,1,2,Data Analyst,Placed,Male,Tier 2,Semi-Urban
STU_0085,59,63,91,47,32,68,86,90,6.88,2,0,2,Business Analyst,Not Placed,Male,Tier 3,Urban
STU_0086,49,54,70,63,32,78,77,86,6.4,2,0,3,Business Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0087,91,67,50,76,89,51,58,73,7.36,4,2,2,ML Intern,Placed,Female,Tier 2,Urban
STU_0088,83,48,54,67,74,33,45,60,5.79,4,0,1,ML Intern,Not Placed,Male,Tier 1,Urban
STU_0089,70,88,62,78,74,64,69,64,7.28,3,0,3,Data Science Intern,Placed,Female,Tier 2,Semi-Urban
STU_0090,88,82,40,69,72,43,62,63,5.8,2,0,1,Data Scientist,Not Placed,Male,Tier 3,Semi-Urban
STU_0091,80,93,83,77,62,75,64,72,7.71,3,1,3,Data Analyst,Placed,Female,Tier 2,Rural
STU_0092,97,73,46,76,90,54,81,68,7.55,4,1,3,ML Intern,Placed,Female,Tier 2,Rural
STU_0093,50,81,85,49,42,80,65,59,5.91,1,0,2,BI Analyst,Not Placed,Male,Tier 1,Semi-Urban
STU_0094,90,59,67,87,82,75,63,75,6.8,3,0,1,Data Scientist,Placed,Male,Tier 2,Semi-Urban
STU_0095,77,80,80,67,60,94,70,72,8.19,3,1,3,BI Analyst,Placed,Female,Tier 2,Urban
STU_0096,74,69,57,81,63,60,62,80,6.59,3,3,1,Data Scientist,Placed,Male,Tier 1,Urban
STU_0097,97,93,72,99,94,66,91,91,8.3,4,3,3,Data Scientist,Placed,Male,Tier 2,Urban
STU_0098,91,69,52,88,85,55,69,90,7.07,3,0,2,Data Scientist,Placed,Female,Tier 2,Rural
STU_0099,64,70,76,58,46,71,61,57,6.41,1,1,2,Data Analyst,Not Placed,Other,Tier 3,Urban
STU_0100,61,78,58,83,60,75,68,61,7.14,2,2,3,Data Analyst,Placed,Female,Tier 1,Semi-Urban
STU_0101,78,99,84,78,56,71,68,74,7.19,2,1,3,Data Analyst,Placed,Female,Tier 3,Urban
STU_0102,83,67,54,78,87,42,57,65,7.3,3,1,1,ML Intern,Placed,Female,Tier 2,Urban
STU_0103,60,49,95,73,45,55,85,82,6.67,3,0,3,Business Analyst,Placed,Other,Tier 2,Urban
STU_0104,73,68,67,84,70,41,59,70,6.38,3,1,2,Data Scientist,Placed,Female,Tier 3,Semi-Urban
STU_0105,79,69,70,90,77,62,67,70,7.83,2,0,1,Data Science Intern,Not Placed,Male,Tier 1,Urban
STU_0106,52,50,77,53,34,55,80,72,6.41,3,0,2,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0107,53,57,93,53,57,58,88,83,7.09,2,0,2,Business Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0108,46,79,83,41,47,63,62,78,7.25,2,0,3,BI Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0109,42,50,79,72,28,60,93,90,5.84,3,1,1,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0110,67,79,99,86,63,78,74,75,7.56,4,0,3,Data Analyst,Placed,Male,Tier 1,Semi-Urban
STU_0111,58,78,96,57,61,80,96,96,7.61,3,1,3,Business Analyst,Placed,Male,Tier 2,Semi-Urban
STU_0112,57,85,79,59,58,99,57,73,7.77,2,2,3,Data Analyst,Placed,Male,Tier 2,Urban
STU_0113,73,67,59,60,66,51,46,75,6.75,1,1,2,Data Science Intern,Not Placed,Female,Tier 3,Rural
STU_0114,62,79,78,68,48,91,70,78,6.61,2,1,2,BI Analyst,Not Placed,Other,Tier 1,Urban
STU_0115,94,76,51,86,86,51,62,72,8.18,4,1,2,ML Intern,Placed,Male,Tier 2,Urban
STU_0116,73,91,93,54,49,77,69,64,7.04,3,2,3,BI Analyst,Placed,Male,Tier 2,Urban
STU_0117,77,89,98,78,77,87,95,90,8.92,4,1,4,BI Analyst,Placed,Male,Tier 1,Semi-Urban
STU_0118,57,92,84,68,48,75,85,72,6.97,3,3,2,Data Analyst,Placed,Female,Tier 2,Urban
STU_0119,81,67,60,84,61,60,69,74,7.17,4,1,3,Data Science Intern,Placed,Female,Tier 1,Semi-Urban
STU_0120,82,77,64,88,73,54,73,81,6.74,3,0,3,Data Scientist,Placed,Male,Tier 2,Semi-Urban
STU_0121,46,83,64,63,63,80,68,76,7.55,3,0,3,BI Analyst,Not Placed,Male,Tier 3,Semi-Urban
STU_0122,62,66,69,69,67,67,70,73,6.83,3,1,3,Data Science Intern,Not Placed,Female,Tier 3,Urban
STU_0123,51,68,87,67,45,74,81,83,7.51,3,0,2,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0124,61,78,87,74,63,80,76,79,7.85,3,1,2,Data Analyst,Placed,Male,Tier 3,Urban
STU_0125,49,52,81,59,41,52,82,93,6.82,3,0,3,Business Analyst,Not Placed,Male,Tier 3,Urban
STU_0126,76,64,56,80,84,42,65,74,6.61,2,0,1,Data Scientist,Not Placed,Male,Tier 2,Urban
STU_0127,46,73,77,59,30,83,64,61,6.07,1,1,2,BI Analyst,Not Placed,Other,Tier 3,Semi-Urban
STU_0128,59,81,89,64,42,86,78,82,7.26,3,1,3,BI Analyst,Placed,Female,Tier 2,Semi-Urban
STU_0129,61,70,93,64,56,71,66,71,6.32,1,3,3,Data Analyst,Placed,Female,Tier 2,Semi-Urban
STU_0130,83,73,56,71,67,50,62,64,5.82,2,0,2,Data Scientist,Not Placed,Female,Tier 2,Semi-Urban
STU_0131,60,75,79,56,46,76,83,92,7.42,3,0,3,Business Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0132,66,75,86,63,60,68,99,91,8.54,4,0,2,Business Analyst,Placed,Female,Tier 2,Urban
STU_0133,86,99,79,67,59,91,56,57,7.1,2,2,3,Data Analyst,Placed,Male,Tier 1,Urban
STU_0134,50,71,92,72,40,59,96,78,7.07,3,0,2,Business Analyst,Placed,Male,Tier 1,Rural
STU_0135,59,73,71,74,67,61,66,62,7.38,2,1,4,Data Science Intern,Placed,Female,Tier 1,Semi-Urban
STU_0136,44,65,86,61,37,70,68,81,7.1,3,1,2,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0137,99,70,60,91,96,59,65,66,8.0,4,0,2,Data Scientist,Placed,Male,Tier 3,Semi-Urban
STU_0138,85,82,55,76,87,48,54,79,6.93,3,1,2,ML Intern,Placed,Male,Tier 2,Semi-Urban
STU_0139,53,63,78,71,51,69,94,78,6.65,2,2,1,Business Analyst,Placed,Male,Tier 1,Semi-Urban
STU_0140,70,68,53,80,58,54,54,73,7.17,2,1,3,Data Science Intern,Not Placed,Male,Tier 3,Urban
STU_0141,70,66,54,63,70,55,67,62,6.63,2,1,4,Data Science Intern,Placed,Male,Tier 2,Rural
STU_0142,56,77,93,62,52,75,90,83,7.96,4,0,2,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0143,83,77,52,76,71,45,56,76,6.27,2,1,2,Data Scientist,Not Placed,Female,Tier 2,Urban
STU_0144,40,62,80,41,46,74,74,79,6.66,2,0,1,Business Analyst,Not Placed,Female,Tier 3,Urban
STU_0145,46,65,77,49,45,74,85,74,7.6,3,1,3,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0146,55,80,75,65,42,82,55,69,6.33,2,0,3,Data Analyst,Placed,Female,Tier 1,Semi-Urban
STU_0147,95,72,53,74,94,39,55,71,7.14,2,1,3,ML Intern,Not Placed,Male,Tier 2,Semi-Urban
STU_0148,94,79,53,82,77,53,73,66,6.88,4,1,1,Data Scientist,Placed,Male,Tier 3,Rural
STU_0149,79,94,94,70,56,73,69,79,7.5,4,1,2,Data Analyst,Placed,Male,Tier 2,Urban
STU_0150,62,56,84,61,37,79,82,81,7.24,3,1,2,Business Analyst,Placed,Female,Tier 1,Semi-Urban
STU_0151,70,66,65,73,67,56,70,84,6.84,3,0,1,Data Science Intern,Placed,Male,Tier 1,Semi-Urban
STU_0152,55,74,78,65,41,65,84,93,7.83,2,1,3,Business Analyst,Placed,Female,Tier 2,Rural
STU_0153,76,91,75,73,61,86,61,70,7.68,3,1,2,Data Analyst,Placed,Male,Tier 2,Urban
STU_0154,87,83,46,86,86,67,74,83,7.12,4,0,1,Data Scientist,Placed,Female,Tier 2,Rural
STU_0155,68,58,62,83,81,67,71,75,7.72,3,2,4,Data Science Intern,Placed,Male,Tier 3,Urban
STU_0156,39,54,90,46,51,63,88,63,6.65,1,1,3,Business Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0157,85,57,38,74,88,38,45,68,5.81,2,0,2,ML Intern,Not Placed,Male,Tier 1,Semi-Urban
STU_0158,54,83,84,60,60,86,70,56,6.65,4,1,2,BI Analyst,Placed,Male,Tier 2,Rural
STU_0159,45,56,88,60,33,70,87,88,6.82,2,1,2,Business Analyst,Placed,Female,Tier 1,Urban
STU_0160,92,73,54,80,94,39,58,67,7.1,3,0,1,ML Intern,Not Placed,Other,Tier 3,Urban
STU_0161,53,72,80,42,42,79,89,83,6.61,2,1,1,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0162,87,61,61,74,99,57,60,72,7.82,5,0,3,ML Intern,Placed,Female,Tier 1,Semi-Urban
STU_0163,85,66,62,79,80,64,62,79,7.35,4,0,1,ML Intern,Placed,Female,Tier 3,Semi-Urban
STU_0164,83,81,65,72,99,70,65,70,7.56,3,0,2,Data Scientist,Placed,Female,Tier 3,Rural
STU_0165,65,83,83,70,56,89,73,62,7.61,3,0,2,Data Analyst,Not Placed,Male,Tier 1,Semi-Urban
STU_0166,56,82,92,44,40,61,68,56,6.07,2,1,3,BI Analyst,Not Placed,Male,Tier 1,Urban
STU_0167,60,51,67,52,25,73,65,76,6.69,2,0,2,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0168,46,79,92,70,45,77,67,73,7.56,2,1,3,Data Analyst,Not Placed,Female,Tier 2,Urban
STU_0169,46,80,54,57,42,77,62,53,6.76,1,0,3,Data Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0170,81,80,62,83,81,66,65,78,7.17,4,0,2,Data Scientist,Placed,Female,Tier 2,Rural
STU_0171,99,65,48,92,89,55,64,80,8.24,5,1,2,ML Intern,Placed,Male,Tier 2,Rural
STU_0172,80,94,93,63,49,63,68,83,7.6,3,1,2,Data Analyst,Placed,Male,Tier 3,Urban
STU_0173,88,73,59,78,82,63,53,77,7.15,3,0,3,Data Scientist,Placed,Other,Tier 2,Urban
STU_0174,64,66,97,89,52,82,87,89,8.16,4,0,2,Business Analyst,Not Placed,Male,Tier 2,Urban
STU_0175,90,70,47,80,98,54,70,73,6.7,3,0,2,ML Intern,Placed,Female,Tier 2,Semi-Urban
STU_0176,66,82,71,69,43,72,68,71,6.86,2,1,2,Data Analyst,Not Placed,Male,Tier 3,Rural
STU_0177,74,73,55,70,71,46,56,72,6.82,3,0,1,ML Intern,Not Placed,Male,Tier 1,Urban
STU_0178,46,45,80,56,48,65,96,64,6.77,2,1,1,Business Analyst,Not Placed,Female,Tier 2,Urban
STU_0179,82,68,70,74,77,57,58,81,6.98,2,0,3,Data Science Intern,Placed,Male,Tier 1,Semi-Urban
STU_0180,62,85,90,61,57,74,68,71,7.48,2,1,3,Data Analyst,Not Placed,Male,Tier 3,Semi-Urban
STU_0181,40,57,95,67,45,75,84,91,7.19,4,1,1,Business Analyst,Placed,Female,Tier 2,Urban
STU_0182,61,84,89,62,64,67,80,67,7.18,2,0,3,Data Analyst,Placed,Female,Tier 2,Rural
STU_0183,74,60,64,69,68,63,77,76,7.85,3,1,2,Data Science Intern,Not Placed,Female,Tier 3,Urban
STU_0184,64,78,77,81,48,99,78,76,7.98,3,1,4,BI Analyst,Placed,Female,Tier 3,Rural
STU_0185,63,76,88,62,49,79,96,85,7.74,3,1,2,Business Analyst,Placed,Male,Tier 3,Urban
STU_0186,83,73,49,73,67,25,57,66,5.87,2,0,2,ML Intern,Not Placed,Male,Tier 1,Urban
STU_0187,39,69,65,58,36,68,69,56,5.8,2,3,3,BI Analyst,Not Placed,Male,Tier 3,Urban
STU_0188,94,77,60,89,87,66,69,67,7.78,4,0,2,Data Scientist,Placed,Male,Tier 2,Urban
STU_0189,75,75,51,75,83,46,48,68,6.73,1,0,3,Data Scientist,Placed,Male,Tier 1,Semi-Urban
STU_0190,45,54,82,63,44,73,97,76,6.98,3,0,2,Business Analyst,Not Placed,Female,Tier 2,Semi-Urban
STU_0191,58,72,68,58,43,75,80,59,5.76,2,0,3,Data Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0192,62,63,59,68,71,35,41,59,5.5,1,0,4,Data Science Intern,Not Placed,Female,Tier 1,Semi-Urban
STU_0193,85,63,45,82,75,57,63,67,7.68,3,0,3,Data Science Intern,Placed,Male,Tier 2,Urban
STU_0194,91,67,62,60,83,45,64,74,7.36,3,0,1,ML Intern,Placed,Male,Tier 3,Urban
STU_0195,53,45,81,61,56,66,85,64,6.91,2,0,2,Business Analyst,Not Placed,Male,Tier 2,Rural
STU_0196,25,55,71,56,25,63,86,70,5.59,1,0,2,Business Analyst,Not Placed,Female,Tier 2,Rural
STU_0197,85,65,39,85,79,51,48,62,6.71,4,1,1,ML Intern,Placed,Male,Tier 2,Urban
STU_0198,87,71,78,76,58,71,66,79,7.3,3,1,3,Data Science Intern,Placed,Female,Tier 3,Urban
STU_0199,67,53,59,84,66,54,69,66,5.91,1,0,3,Data Science Intern,Placed,Female,Tier 1,Semi-Urban
STU_0200,58,73,81,71,43,98,74,64,7.2,3,1,3,BI Analyst,Placed,Male,Tier 2,Urban
STU_0201,93,66,60,76,85,54,64,59,6.89,3,1,2,ML Intern,Placed,Male,Tier 2,Semi-Urban
STU_0202,56,92,82,67,45,73,56,72,7.32,2,0,3,Data Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0203,58,75,80,71,68,67,77,78,7.06,3,1,1,Data Analyst,Placed,Male,Tier 1,Urban
STU_0204,63,69,57,72,76,62,67,64,6.44,2,0,4,Data Science Intern,Not Placed,Male,Tier 2,Urban
STU_0205,81,72,69,73,84,57,61,74,8.14,5,1,1,ML Intern,Placed,Female,Tier 2,Semi-Urban
STU_0206,58,71,72,72,41,65,62,75,6.96,2,2,3,Data Analyst,Placed,Female,Tier 3,Urban
STU_0207,60,78,80,55,56,81,65,77,7.44,2,0,3,Data Analyst,Not Placed,Male,Tier 1,Urban
STU_0208,73,72,50,71,81,45,66,61,7.08,2,0,3,ML Intern,Not Placed,Male,Tier 2,Semi-Urban
STU_0209,54,88,73,73,63,73,71,59,7.13,3,1,3,Data Analyst,Placed,Male,Tier 1,Semi-Urban
STU_0210,63,79,79,59,35,77,48,63,6.76,2,0,2,Data Analyst,Not Placed,Male,Tier 3,Urban
STU_0211,91,77,74,91,76,57,65,63,7.11,3,1,1,Data Scientist,Placed,Male,Tier 2,Rural
STU_0212,88,72,47,87,93,46,74,88,8.43,4,2,0,ML Intern,Placed,Male,Tier 2,Semi-Urban
STU_0213,81,59,52,76,81,37,57,76,6.31,2,1,2,ML Intern,Placed,Male,Tier 2,Urban
STU_0214,37,70,72,52,32,66,64,68,6.48,0,0,2,Business Analyst,Not Placed,Female,Tier 2,Urban
STU_0215,85,76,69,90,76,73,72,76,8.2,3,1,1,ML Intern,Placed,Female,Tier 1,Semi-Urban
STU_0216,50,62,78,60,39,68,79,68,6.85,3,1,2,Business Analyst,Placed,Female,Tier 2,Urban
STU_0217,48,63,85,63,44,65,88,66,7.01,3,0,1,Business Analyst,Not Placed,Female,Tier 3,Semi-Urban
STU_0218,54,78,91,74,57,99,73,78,7.76,3,0,5,BI Analyst,Placed,Male,Tier 2,Semi-Urban
STU_0219,82,71,50,72,87,54,54,71,6.7,4,1,3,ML Intern,Placed,Male,Tier 3,Semi-Urban
STU_0220,57,70,89,76,59,81,80,62,8.03,4,1,2,BI Analyst,Placed,Female,Tier 1,Semi-Urban
STU_0221,99,63,67,88,83,45,68,71,7.56,3,0,2,ML Intern,Not Placed,Male,Tier 3,Semi-Urban
STU_0222,83,70,44,65,81,51,59,79,7.16,3,1,3,Data Scientist,Placed,Male,Tier 2,Urban
STU_0223,82,91,88,83,53,90,83,86,8.71,4,1,3,Data Analyst,Placed,Male,Tier 2,Urban
STU_0224,32,53,74,58,46,80,78,73,6.86,2,0,2,Business Analyst,Not Placed,Male,Tier 2,Semi-Urban
STU_0225,62,68,97,66,40,66,77,89,7.76,3,0,2,Business Analyst,Not Placed,Male,Tier 3,Semi-Urban
STU_0226,60,77,92,70,42,65,93,85,7.72,3,0,2,Business Analyst,Placed,Male,Tier 3,Semi-Urban
STU_0227,81,81,74,91,86,73,81,82,7.83,3,0,1,Data Science Intern,Placed,Male,Tier 2,Urban
STU_0228,54,75,81,76,44,82,86,92,7.65,3,1,0,Business Analyst,Placed,Female,Tier 2,Rural
STU_0229,74,60,68,71,77,62,71,65,7.57,3,0,3,Data Science Intern,Placed,Male,Tier 1,Urban
STU_0230,78,61,57,87,76,54,42,61,6.46,3,0,2,ML Intern,Not Placed,Female,Tier 2,Urban
STU_0231,51,72,68,67,49,91,81,74,7.13,3,3,3,BI Analyst,Placed,Female,Tier 2,Urban
STU_0232,87,72,48,89,74,48,61,66,6.06,4,1,3,Data Scientist,Placed,Female,Tier 2,Urban
STU_0233,92,89,73,87,88,76,80,99,8.51,4,1,2,Data Scientist,Placed,Male,Tier 2,Semi-Urban
STU_0234,95,85,50,90,82,55,68,84,6.61,3,0,2,Data Scientist,Placed,Female,Tier 3,Urban
STU_0235,64,74,84,61,52,74,65,74,6.62,2,1,3,Data Analyst,Not Placed,Male,Tier 3,Urban
STU_0236,79,84,41,74,90,55,62,74,7.42,4,1,2,ML Intern,Placed,Male,Tier 1,Urban
